"AreaUnit","Total_Crashes","Total_Crime","Commonest_Crime","Closest_Medical_Hospital","Distance_Medical_Hospital","Closest_Childrens_Health_Hospital","Distance_Childrens_Health_Hospital","Closest_Dementia_Care_Hospital","Distance_Dementia_Care_Hospital","Closest_Geriatric_Hospital","Distance_Geriatric_Hospital","Closest_Maternity_Hospital","Distance_Maternity_Hospital","Closest_Mental_Health_Hospital","Distance_Mental_Health_Hospital","Closest_Psychogeriatric_Hospital","Distance_Psychogeriatric_Hospital","Closest_Surgical_Hospital","Distance_Surgical_Hospital","Average_decile","Primary","Secondary","Composite","Other"
"Twizel Community",26,16,"Theft and Related Offences","Hospice South Canterbury",90025.3320951122,"Timaru Hospital",93617.684842805,"Tuarangi Home",138063.916787691,"Tuarangi Home",138063.916787691,"Timaru Hospital",93617.684842805,"Timaru Hospital",93617.684842805,"Burwood Hospital",224696.416567264,"Bidwill Trust Hospital",92271.2681113925,8,0,0,1,0
"Upper Riccarton",128,123,"Theft and Related Offences","Christchurch Hospital",4093.78668621461,"Christchurch Hospital",4093.78668621461,"Tuarangi Home",78086.1215351506,"Burwood Hospital",10307.5296714437,"Christchurch Hospital",4093.78668621461,"Hillmorton Hospital",3047.90624812709,"Burwood Hospital",10307.5296714437,"Christchurch Hospital",4093.78668621461,8,0,1,0,1
"Waiau",2,3,"Theft and Related Offences","Waikari Hospital",45288.1401553226,"Christchurch Hospital",103478.380239107,"Tuarangi Home",173885.171009769,"Waikari Hospital",45288.1401553226,"Kaikoura Hospital",59272.3198941353,"Hillmorton Hospital",106238.893383705,"Burwood Hospital",96480.1118610856,"Burwood Hospital",96480.1118610856,4,1,0,0,0
"Waihao",281,39,"Unlawful Entry With Intent/Burglary, Break and Enter","Timaru Hospital",39184.9330690454,"Timaru Hospital",39184.9330690454,"Tuarangi Home",107330.367757181,"Tuarangi Home",107330.367757181,"Timaru Hospital",39184.9330690454,"Timaru Hospital",39184.9330690454,"Burwood Hospital",190778.439970868,"Timaru Hospital",39184.9330690454,6.5,4,0,0,0
"Waikuku",2,7,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",9373.98961778071,"Christchurch Hospital",28507.7641377843,"Tuarangi Home",103329.546135106,"Burwood Hospital",21995.7087787601,"Rangiora Hospital",9373.98961778071,"Hillmorton Hospital",31146.2328703892,"Burwood Hospital",21995.7087787601,"Burwood Hospital",21995.7087787601,NA,0,NA,NA,NA
"Waimairi Beach",21,55,"Theft and Related Offences","Burwood Hospital",2287.20848766053,"Christchurch Hospital",9220.03880930115,"Tuarangi Home",90425.7323523443,"Burwood Hospital",2287.20848766053,"St George's Hospital",8154.94873100415,"Hillmorton Hospital",12366.5559202289,"Burwood Hospital",2287.20848766053,"Burwood Hospital",2287.20848766053,6,1,0,0,0
"Waimataitai",85,77,"Theft and Related Offences","Hospice South Canterbury",1944.89192295,"Timaru Hospital",3292.50794225126,"Tuarangi Home",66830.2509809825,"Tuarangi Home",66830.2509809825,"Timaru Hospital",3292.50794225126,"Timaru Hospital",3292.50794225126,"Burwood Hospital",152804.866576174,"Bidwill Trust Hospital",1499.07017352057,NA,0,NA,NA,NA
"Waimate",37,44,"Theft and Related Offences","Timaru Hospital",39799.4026778888,"Timaru Hospital",39799.4026778888,"Tuarangi Home",107763.531953724,"Tuarangi Home",107763.531953724,"Timaru Hospital",39799.4026778888,"Timaru Hospital",39799.4026778888,"Burwood Hospital",190844.290956677,"Timaru Hospital",39799.4026778888,4.25,3,1,0,0
"Wainoni",71,112,"Theft and Related Offences","Burwood Hospital",4236.68834001599,"Christchurch Hospital",5385.62399912293,"Tuarangi Home",86564.6637780646,"Burwood Hospital",4236.68834001599,"Christchurch Hospital",5385.62399912293,"The Princess Margaret Hospital",8007.86136911275,"Burwood Hospital",4236.68834001599,"Forte Health Hospital",4190.12986048491,1,0,0,1,0
"Wairarapa",64,27,"Theft and Related Offences","Nurse Maude Hospice",3702.58385480219,"Christchurch Hospital",5050.6640721191,"Tuarangi Home",79836.255252679,"Burwood Hospital",8943.15996413603,"St George's Hospital",3448.26767933823,"Hillmorton Hospital",5563.35772836649,"Burwood Hospital",8943.15996413603,"St George's Hospital",3448.26767933823,8,0,1,0,0
"Waltham",83,55,"Theft and Related Offences","Christchurch Hospital",2305.83114151793,"Christchurch Hospital",2305.83114151793,"Tuarangi Home",82542.2968880321,"Burwood Hospital",7385.1639909645,"Christchurch Hospital",2305.83114151793,"The Princess Margaret Hospital",3947.51989209391,"Burwood Hospital",7385.1639909645,"Forte Health Hospital",2229.20285201395,3,1,0,0,0
"Washdyke",69,42,"Acts Intended to Cause Injury","Hospice South Canterbury",3511.07922908816,"Timaru Hospital",5618.39232832105,"Tuarangi Home",64911.2586214285,"Tuarangi Home",64911.2586214285,"Timaru Hospital",5618.39232832105,"Timaru Hospital",5618.39232832105,"Burwood Hospital",151224.915627473,"Bidwill Trust Hospital",3941.30047609973,NA,0,NA,NA,NA
"Watlington",27,26,"Theft and Related Offences","Timaru Hospital",1796.67286357948,"Timaru Hospital",1796.67286357948,"Tuarangi Home",69271.7363520388,"Tuarangi Home",69271.7363520388,"Timaru Hospital",1796.67286357948,"Timaru Hospital",1796.67286357948,"Burwood Hospital",154915.821638539,"Bidwill Trust Hospital",1441.48029713598,8,0,0,1,0
"West Eyreton",22,4,"Theft and Related Offences","Rangiora Hospital",16473.1015599144,"Christchurch Hospital",27957.6483012224,"Tuarangi Home",81609.2121512128,"Oxford Hospital",17555.2955364543,"Rangiora Hospital",16473.1015599144,"Hillmorton Hospital",28214.4243669067,"Burwood Hospital",27572.2796654768,"St George's Hospital",25646.1435023168,10,1,0,0,0
"West Melton",336,81,"Theft and Related Offences","Christchurch Hospital",16656.3134064698,"Christchurch Hospital",16656.3134064698,"Tuarangi Home",65197.4183842079,"Ellesmere Hospital",22174.970460886,"Lincoln Maternity Hospital",7840.05465798234,"Hillmorton Hospital",13833.0439925359,"Burwood Hospital",23293.5304140123,"Christchurch Hospital",16656.3134064698,9.66666666666667,3,0,0,0
"Westburn",68,55,"Theft and Related Offences","Nurse Maude Hospice",4239.7475388339,"Christchurch Hospital",4981.49031604772,"Tuarangi Home",78769.8261261573,"Burwood Hospital",9837.26569548094,"St George's Hospital",4020.68945415582,"Hillmorton Hospital",4814.55226723585,"Burwood Hospital",9837.26569548094,"St George's Hospital",4020.68945415582,9,1,0,0,0
"Westhaven",46,16,"Unlawful Entry With Intent/Burglary, Break and Enter","Burwood Hospital",1535.99382097981,"Christchurch Hospital",5944.69541681365,"Tuarangi Home",86918.7200711711,"Burwood Hospital",1535.99382097981,"St George's Hospital",4599.87553503275,"Hillmorton Hospital",9062.21832379809,"Burwood Hospital",1535.99382097981,"Burwood Hospital",1535.99382097981,NA,0,NA,NA,NA
"Westmorland",7,3,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",5460.81148965392,"Christchurch Hospital",5460.81148965392,"Tuarangi Home",77229.3135817119,"Burwood Hospital",12745.3864627721,"Christchurch Hospital",5460.81148965392,"The Princess Margaret Hospital",1677.66309080142,"Burwood Hospital",12745.3864627721,"Christchurch Hospital",5460.81148965392,NA,0,NA,NA,NA
"Wharenui",85,67,"Theft and Related Offences","Christchurch Hospital",3601.6204812378,"Christchurch Hospital",3601.6204812378,"Tuarangi Home",78266.9676337721,"Burwood Hospital",10133.1678552577,"Christchurch Hospital",3601.6204812378,"Hillmorton Hospital",2455.80469810842,"Burwood Hospital",10133.1678552577,"Christchurch Hospital",3601.6204812378,9,0,0,1,0
"Wigram",249,121,"Theft and Related Offences","Christchurch Hospital",5755.41702006231,"Christchurch Hospital",5755.41702006231,"Tuarangi Home",75738.8687125698,"Burwood Hospital",12685.7959150266,"Christchurch Hospital",5755.41702006231,"Hillmorton Hospital",3161.73876300607,"Burwood Hospital",12685.7959150266,"Christchurch Hospital",5755.41702006231,4,1,0,0,0
"Winchester",8,4,"Theft and Related Offences","Hospice South Canterbury",22524.4593846441,"Timaru Hospital",24510.9297576557,"Tuarangi Home",49197.240054231,"Tuarangi Home",49197.240054231,"Timaru Hospital",24510.9297576557,"Timaru Hospital",24510.9297576557,"Burwood Hospital",137294.49666774,"Bidwill Trust Hospital",23110.8462233846,7,1,0,0,0
"Woodend",39,21,"Theft and Related Offences","Rangiora Hospital",6895.03788866048,"Christchurch Hospital",23856.6976778777,"Tuarangi Home",98028.1585366984,"Burwood Hospital",17895.1561936493,"Rangiora Hospital",6895.03788866048,"Hillmorton Hospital",26328.7004656656,"Burwood Hospital",17895.1561936493,"Burwood Hospital",17895.1561936493,8,1,0,0,0
"Woodend Beach",18,3,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",8474.98047031686,"Christchurch Hospital",21850.8504986006,"Tuarangi Home",96952.5464996195,"Burwood Hospital",15779.3054716572,"Rangiora Hospital",8474.98047031686,"Hillmorton Hospital",24385.938986932,"Burwood Hospital",15779.3054716572,"Burwood Hospital",15779.3054716572,NA,0,NA,NA,NA
"Woodend West",2,NA,NA,"Rangiora Hospital",6700.98480674053,"Christchurch Hospital",23600.8498132246,"Tuarangi Home",97614.7522172805,"Burwood Hospital",17719.9616533705,"Rangiora Hospital",6700.98480674053,"Hillmorton Hospital",26047.1640999758,"Burwood Hospital",17719.9616533705,"Burwood Hospital",17719.9616533705,NA,0,NA,NA,NA
"Woolston South",60,48,"Theft and Related Offences","Christchurch Hospital",4964.34479583153,"Christchurch Hospital",4964.34479583153,"Tuarangi Home",84117.3251714437,"Burwood Hospital",8005.27529843156,"Christchurch Hospital",4964.34479583153,"The Princess Margaret Hospital",5261.54237058421,"Burwood Hospital",8005.27529843156,"Forte Health Hospital",4628.86110252757,3,1,0,0,0
"Woolston West",79,137,"Theft and Related Offences","Southern Cross Hospital Christchurch",3861.79571584183,"Christchurch Hospital",3962.99336105945,"Tuarangi Home",84304.4608544054,"Burwood Hospital",6627.1832805178,"Christchurch Hospital",3962.99336105945,"The Princess Margaret Hospital",5487.86278592415,"Burwood Hospital",6627.1832805178,"Forte Health Hospital",3325.66620085617,1.5,1,0,0,1
"Yaldhurst",188,135,"Theft and Related Offences","Nurse Maude Hospice",7191.81893541311,"Christchurch Hospital",8288.49577660202,"Tuarangi Home",77462.7825430971,"Burwood Hospital",12127.4053698661,"St George's Hospital",6936.2281762101,"Hillmorton Hospital",7816.40337065015,"Burwood Hospital",12127.4053698661,"St George's Hospital",6936.2281762101,5,1,0,0,0
"Avon-Heathcote Estuary",NA,6,"Theft and Related Offences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Inlets-Banks Peninsula Bays",NA,1,"Acts Intended to Cause Injury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Chatham Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,0,0
"Mt Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0,0,0
