HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
21,Thu,Acts Intended to Cause Injury,Avonhead,1,2020,10
21,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
21,Thu,Acts Intended to Cause Injury,Mansfield,1,2020,10
18,Fri,Theft and Related Offences,Linwood,1,2021,3
18,Fri,Theft and Related Offences,Northcote,1,2021,3
18,Fri,Theft and Related Offences,Prestons,1,2021,3
18,Fri,Theft and Related Offences,Shirley West,1,2021,3
13,Sat,Acts Intended to Cause Injury,Cashmere West,1,2021,3
0,Sat,Acts Intended to Cause Injury,Spreydon,1,2021,2
23,Sat,Acts Intended to Cause Injury,Sydenham,1,2021,2
12,Sat,Acts Intended to Cause Injury,Linwood North,1,2021,2
4,Thu,Acts Intended to Cause Injury,North Beach,1,2020,10
0,Thu,Acts Intended to Cause Injury,Russley,1,2020,11
14,Thu,Acts Intended to Cause Injury,Phillipstown,1,2020,11
20,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,11
15,Mon,Theft and Related Offences,Shirley East,1,2021,8
16,Mon,Theft and Related Offences,Halswell South,1,2021,8
16,Mon,Theft and Related Offences,Linwood East,1,2021,8
16,Mon,Theft and Related Offences,Middleton,1,2021,8
16,Mon,Theft and Related Offences,Papanui,1,2021,8
16,Mon,Theft and Related Offences,Richmond South,1,2021,8
16,Mon,Theft and Related Offences,Spreydon,1,2021,8
16,Mon,Theft and Related Offences,Rangiora East,1,2021,8
18,Fri,Theft and Related Offences,St Albans East,1,2021,3
18,Fri,Theft and Related Offences,Springston,1,2021,3
18,Fri,Theft and Related Offences,Southbrook,1,2021,3
19,Fri,Theft and Related Offences,Allenton East,1,2021,3
19,Fri,Theft and Related Offences,Middleton,1,2021,3
8,Thu,Acts Intended to Cause Injury,Paparua,1,2020,11
9,Thu,Acts Intended to Cause Injury,Halswell West,1,2020,11
0,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
0,Thu,Acts Intended to Cause Injury,Hornby South,1,2020,12
19,Fri,Theft and Related Offences,Shirley West,1,2021,3
19,Fri,Theft and Related Offences,Sockburn,1,2021,3
20,Fri,Theft and Related Offences,Addington,1,2021,3
20,Fri,Theft and Related Offences,Shirley East,1,2021,3
0,Thu,Acts Intended to Cause Injury,West Melton,1,2020,12
0,Thu,Acts Intended to Cause Injury,Seaview,1,2020,12
1,Thu,Acts Intended to Cause Injury,Fraser Park,1,2020,12
13,Thu,Acts Intended to Cause Injury,Shirley East,1,2020,12
15,Thu,Acts Intended to Cause Injury,Aranui,1,2020,12
20,Fri,Theft and Related Offences,Southbrook,1,2021,3
21,Fri,Theft and Related Offences,Addington,1,2021,3
21,Fri,Theft and Related Offences,St Albans East,1,2021,3
23,Fri,Theft and Related Offences,Rawhiti,1,2021,3
23,Sat,Acts Intended to Cause Injury,Holmwood,1,2021,3
23,Sat,Acts Intended to Cause Injury,Mona Vale,1,2021,3
12,Sat,Acts Intended to Cause Injury,Rolleston North East,1,2021,4
18,Sat,Acts Intended to Cause Injury,Parkside,1,2021,4
17,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
17,Mon,Theft and Related Offences,Hornby North,1,2021,8
17,Mon,Theft and Related Offences,Linwood East,1,2021,8
17,Mon,Theft and Related Offences,Mona Vale,1,2021,8
16,Thu,Acts Intended to Cause Injury,Richmond South,1,2020,12
17,Thu,Acts Intended to Cause Injury,South Brighton,1,2020,12
20,Thu,Acts Intended to Cause Injury,Upper Riccarton,1,2020,12
22,Thu,Acts Intended to Cause Injury,Casebrook,1,2020,12
4,Fri,Theft and Related Offences,Cathedral Square,1,2021,3
6,Fri,Theft and Related Offences,Hornby North,1,2021,3
1,Fri,Theft and Related Offences,Sockburn,1,2021,4
12,Fri,Theft and Related Offences,Barrington North,1,2021,4
0,Sat,Acts Intended to Cause Injury,Richmond North,1,2021,5
16,Sat,Acts Intended to Cause Injury,Ferrymead,1,2021,5
18,Sat,Acts Intended to Cause Injury,Hagley Park,1,2021,5
15,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2021,7
0,Thu,Acts Intended to Cause Injury,New Brighton,1,2021,1
11,Thu,Acts Intended to Cause Injury,Paparua,1,2021,1
15,Thu,Acts Intended to Cause Injury,Wharenui,1,2021,1
17,Thu,Acts Intended to Cause Injury,Cheviot,1,2021,1
17,Mon,Theft and Related Offences,Sydenham,1,2021,8
18,Mon,Theft and Related Offences,Hoon Hay,1,2021,8
18,Mon,Theft and Related Offences,Northcote,1,2021,8
18,Mon,Theft and Related Offences,Sockburn,1,2021,8
12,Fri,Theft and Related Offences,Bishopdale North,1,2021,4
13,Fri,Theft and Related Offences,Merivale,1,2021,4
13,Fri,Theft and Related Offences,Oaklands West,1,2021,4
14,Fri,Theft and Related Offences,Ashburton Central East,1,2021,4
9,Thu,Acts Intended to Cause Injury,Paparua,1,2021,1
13,Thu,Acts Intended to Cause Injury,Temuka,1,2020,10
13,Thu,Acts Intended to Cause Injury,Hagley Park,1,2020,12
11,Thu,Acts Intended to Cause Injury,Kaikoura Township,1,2020,11
18,Mon,Theft and Related Offences,Southbrook,1,2021,8
19,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
19,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
19,Mon,Theft and Related Offences,Shirley East,1,2021,8
14,Fri,Theft and Related Offences,Linwood,1,2021,4
15,Fri,Theft and Related Offences,Cashmere West,1,2021,4
15,Fri,Theft and Related Offences,Northcote,1,2021,4
15,Fri,Theft and Related Offences,Riccarton,1,2021,4
3,Sat,Acts Intended to Cause Injury,Spreydon,1,2021,7
10,Sat,Acts Intended to Cause Injury,Paparua,1,2021,2
9,Sat,Acts Intended to Cause Injury,Paparua,1,2021,2
21,Sat,Acts Intended to Cause Injury,Hagley Park,1,2021,3
15,Fri,Theft and Related Offences,Sockburn,1,2021,4
15,Fri,Theft and Related Offences,Kaiapoi North West,1,2021,4
16,Fri,Theft and Related Offences,Avonhead West,1,2021,4
16,Fri,Theft and Related Offences,Oaklands East,1,2021,4
22,Sat,Acts Intended to Cause Injury,Riccarton,1,2021,3
10,Sat,Acts Intended to Cause Injury,Linwood,1,2021,4
10,Sat,Acts Intended to Cause Injury,Waimataitai,1,2021,5
14,Sat,Acts Intended to Cause Injury,Avonside,1,2021,5
13,Thu,Acts Intended to Cause Injury,Hagley Park,1,2020,11
14,Thu,Acts Intended to Cause Injury,Fairlie,1,2020,11
12,Thu,Acts Intended to Cause Injury,Avon Loop,1,2021,1
20,Thu,Acts Intended to Cause Injury,Avon Loop,1,2021,1
20,Mon,Theft and Related Offences,Shirley East,1,2021,8
7,Mon,Theft and Related Offences,Northcote,1,2021,8
7,Mon,Theft and Related Offences,Seaview,1,2021,8
8,Mon,Theft and Related Offences,Cathedral Square,1,2021,8
2,Sat,Acts Intended to Cause Injury,Spreydon,1,2021,5
12,Sat,Acts Intended to Cause Injury,Upper Riccarton,1,2021,6
14,Sat,Acts Intended to Cause Injury,Paparua,1,2021,6
10,Sat,Acts Intended to Cause Injury,Yaldhurst,1,2021,7
8,Mon,Theft and Related Offences,Woolston West,1,2021,8
9,Mon,Theft and Related Offences,Hawthornden,1,2021,8
9,Mon,Theft and Related Offences,Linwood East,1,2021,8
9,Mon,Theft and Related Offences,Papanui,1,2021,8
8,Thu,Acts Intended to Cause Injury,Kaiapoi South,1,2020,11
16,Thu,Acts Intended to Cause Injury,Sydenham,1,2020,10
1,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
14,Thu,Acts Intended to Cause Injury,Kaiapoi South,1,2020,11
19,Thu,Acts Intended to Cause Injury,Phillipstown,1,2020,11
16,Fri,Theft and Related Offences,Prestons,1,2021,4
16,Fri,Theft and Related Offences,Sawyers Arms,1,2021,4
16,Fri,Theft and Related Offences,Sydenham,1,2021,4
16,Fri,Theft and Related Offences,Seaview,1,2021,4
7,Thu,Acts Intended to Cause Injury,Paparua,1,2020,10
23,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
14,Thu,Acts Intended to Cause Injury,Linwood North,1,2020,10
2,Thu,Acts Intended to Cause Injury,Avon Loop,1,2021,1
9,Mon,Theft and Related Offences,Marchwiel,1,2021,8
9,Mon,Theft and Related Offences,Southbrook,1,2021,8
12,Mon,Theft and Related Offences,Shirley East,2,2021,7
11,Mon,Theft and Related Offences,Linwood East,2,2021,6
17,Fri,Theft and Related Offences,Opawa,1,2021,4
17,Fri,Theft and Related Offences,Sydenham,1,2021,4
18,Fri,Theft and Related Offences,Avonhead West,1,2021,4
21,Fri,Theft and Related Offences,Sydenham,1,2021,4
10,Sat,Acts Intended to Cause Injury,Washdyke,1,2021,7
18,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2021,7
21,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2021,7
21,Sat,Acts Intended to Cause Injury,Opawa,1,2021,2
7,Thu,Acts Intended to Cause Injury,Orari,1,2020,10
13,Thu,Acts Intended to Cause Injury,Seaview,1,2020,10
20,Thu,Acts Intended to Cause Injury,Avonhead,1,2020,10
1,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
13,Sat,Acts Intended to Cause Injury,Middleton,1,2021,6
20,Sat,Acts Intended to Cause Injury,Avon Loop,1,2021,4
1,Sat,Acts Intended to Cause Injury,Kingsbury,1,2021,2
14,Sat,Acts Intended to Cause Injury,Upper Riccarton,1,2021,2
23,Fri,Theft and Related Offences,Cathedral Square,1,2021,4
4,Fri,Theft and Related Offences,Middleton,1,2021,4
6,Fri,Theft and Related Offences,Cashmere West,1,2021,4
7,Fri,Theft and Related Offences,Amberley,1,2021,4
12,Mon,Theft and Related Offences,Linwood East,2,2021,6
14,Mon,Theft and Related Offences,Linwood East,2,2021,6
15,Mon,Theft and Related Offences,Rangiora East,2,2021,6
16,Mon,Theft and Related Offences,Linwood East,2,2021,6
22,Thu,Acts Intended to Cause Injury,South Brighton,1,2020,12
5,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
1,Thu,Acts Intended to Cause Injury,Cathedral Square,1,2021,1
1,Thu,Acts Intended to Cause Injury,Hagley Park,1,2021,1
23,Sat,Acts Intended to Cause Injury,St Albans West,1,2021,2
10,Sat,Acts Intended to Cause Injury,Linwood North,1,2021,3
9,Sat,Acts Intended to Cause Injury,Cathedral Square,1,2021,3
14,Sat,Acts Intended to Cause Injury,Cashmere East,1,2021,4
7,Fri,Theft and Related Offences,Darfield,1,2021,4
9,Fri,Theft and Related Offences,Opawa,1,2021,4
9,Fri,Theft and Related Offences,Rolleston North East,1,2021,4
0,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
12,Sat,Acts Intended to Cause Injury,Mackenzie,1,2021,5
21,Sat,Acts Intended to Cause Injury,Seaview,1,2021,6
11,Sat,Acts Intended to Cause Injury,Waihao,1,2021,7
18,Sat,Acts Intended to Cause Injury,Orari,1,2021,8
22,Sat,Acts Intended to Cause Injury,Riccarton West,1,2021,8
17,Mon,Theft and Related Offences,Cathedral Square,2,2021,6
17,Mon,Theft and Related Offences,Riccarton,2,2021,6
19,Mon,Theft and Related Offences,Merivale,2,2021,6
12,Mon,Theft and Related Offences,Linwood East,2,2021,7
0,Thu,Acts Intended to Cause Injury,Ensors,1,2020,12
11,Thu,Acts Intended to Cause Injury,Hagley Park,1,2020,12
20,Thu,Acts Intended to Cause Injury,Glenwood,1,2021,1
12,Thu,Acts Intended to Cause Injury,Ashburton Central East,1,2020,11
10,Fri,Theft and Related Offences,Addington,1,2021,5
10,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
10,Fri,Theft and Related Offences,Woolston West,1,2021,5
10,Fri,Theft and Related Offences,Rolleston North East,1,2021,5
13,Mon,Theft and Related Offences,Linwood East,2,2021,7
15,Mon,Theft and Related Offences,Bishopdale,2,2021,7
20,Mon,Theft and Related Offences,Linwood East,2,2021,7
8,Mon,Theft and Related Offences,Linwood East,2,2021,7
11,Fri,Theft and Related Offences,Addington,1,2021,5
12,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
12,Fri,Theft and Related Offences,Hornby North,1,2021,5
12,Fri,Theft and Related Offences,Middleton,1,2021,5
23,Sat,Acts Intended to Cause Injury,Paparua,1,2021,8
1,Sat,Acts Intended to Cause Injury,Hampstead,1,2021,3
21,Sat,Acts Intended to Cause Injury,New Brighton,1,2021,3
0,Sat,Acts Intended to Cause Injury,Avonhead,1,2021,4
12,Fri,Theft and Related Offences,Riccarton South,1,2021,5
13,Fri,Theft and Related Offences,Avonhead West,1,2021,5
13,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
13,Fri,Theft and Related Offences,Seaview,1,2021,5
10,Sat,Acts Intended to Cause Injury,Burwood,1,2021,5
11,Sat,Acts Intended to Cause Injury,Allenton East,1,2021,5
12,Sat,Acts Intended to Cause Injury,Upper Riccarton,1,2021,6
16,Sat,Acts Intended to Cause Injury,North Beach,1,2021,6
23,Sat,Acts Intended to Cause Injury,Seaview,1,2021,6
9,Sat,Acts Intended to Cause Injury,Paparua,1,2021,8
12,Sat,Acts Intended to Cause Injury,Hagley Park,1,2021,2
3,Sat,Acts Intended to Cause Injury,Glenwood,1,2021,5
14,Fri,Theft and Related Offences,Shirley East,1,2021,5
15,Fri,Theft and Related Offences,Cashmere West,1,2021,5
15,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
15,Fri,Theft and Related Offences,Seaview,1,2021,5
7,Thu,Acts Intended to Cause Injury,Paparua,2,2020,12
22,Thu,Acts Intended to Cause Injury,Timaru Gardens,2,2021,1
23,Thu,Acts Intended to Cause Injury,Washdyke,2,2020,10
0,Thu,Acts Intended to Cause Injury,Rawhiti,2,2020,11
16,Fri,Theft and Related Offences,Cathedral Square,1,2021,5
16,Fri,Theft and Related Offences,Wainoni,1,2021,5
17,Fri,Theft and Related Offences,Avonhead West,1,2021,5
17,Fri,Theft and Related Offences,Belfast,1,2021,5
12,Sat,Acts Intended to Cause Injury,Broomfield,1,2021,3
1,Sat,Acts Intended to Cause Injury,Upper Riccarton,1,2021,5
2,Sat,Acts Intended to Cause Injury,Cathedral Square,2,2021,2
10,Sat,Acts Intended to Cause Injury,Cathedral Square,2,2021,3
17,Fri,Theft and Related Offences,Ohoka,1,2021,5
18,Fri,Theft and Related Offences,Opawa,1,2021,5
19,Fri,Theft and Related Offences,Oaklands East,1,2021,5
20,Fri,Theft and Related Offences,Halswell Domain,1,2021,5
15,Sat,Acts Intended to Cause Injury,Linwood North,2,2021,3
20,Sat,Acts Intended to Cause Injury,Cathedral Square,2,2021,5
21,Sat,Acts Intended to Cause Injury,St Martins,2,2021,6
2,Sat,Acts Intended to Cause Injury,Cathedral Square,2,2021,8
20,Fri,Theft and Related Offences,Riccarton South,1,2021,5
21,Fri,Theft and Related Offences,Linwood,1,2021,5
22,Fri,Theft and Related Offences,Oaklands East,1,2021,5
22,Fri,Theft and Related Offences,Woolston West,1,2021,5
16,Sat,Acts Intended to Cause Injury,Aorangi,2,2021,2
20,Sat,Acts Intended to Cause Injury,Avon Loop,2,2021,5
12,Sat,Acts Intended to Cause Injury,Hoon Hay,4,2021,2
15,Sun,Acts Intended to Cause Injury,Opawa,1,2021,2
15,Sun,Acts Intended to Cause Injury,Waimairi Beach,1,2021,2
17,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
2,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
7,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,2
10,Sun,Acts Intended to Cause Injury,Paparua,1,2021,3
11,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,3
14,Sun,Acts Intended to Cause Injury,Paparua,1,2021,3
15,Sun,Acts Intended to Cause Injury,Rolleston South East,1,2021,3
16,Sun,Acts Intended to Cause Injury,Kaiapoi South,1,2021,3
18,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,3
18,Sun,Acts Intended to Cause Injury,Ensors,1,2021,3
1,Sun,Acts Intended to Cause Injury,St Albans East,1,2021,4
10,Sun,Acts Intended to Cause Injury,Yaldhurst,1,2021,4
15,Sun,Acts Intended to Cause Injury,Barrington North,1,2021,4
18,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,4
18,Sun,Acts Intended to Cause Injury,Riccarton,1,2021,4
13,Tue,Acts Intended to Cause Injury,Paparua,1,2020,10
13,Tue,Acts Intended to Cause Injury,Richmond North,1,2020,10
15,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
17,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
23,Fri,Theft and Related Offences,Riccarton South,1,2021,5
4,Fri,Theft and Related Offences,Belfast,1,2021,5
6,Fri,Theft and Related Offences,Rolleston North East,1,2021,5
8,Fri,Theft and Related Offences,Southbrook,1,2021,5
3,Sun,Acts Intended to Cause Injury,Avon Loop,1,2021,4
8,Sun,Acts Intended to Cause Injury,Paparua,1,2021,4
9,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
0,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,5
9,Fri,Theft and Related Offences,Cashmere West,1,2021,5
9,Fri,Theft and Related Offences,Merivale,1,2021,5
9,Fri,Theft and Related Offences,Wigram,1,2021,5
10,Fri,Theft and Related Offences,Shirley East,1,2021,2
0,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,5
0,Sun,Acts Intended to Cause Injury,Hagley Park,1,2021,5
10,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,5
10,Sun,Acts Intended to Cause Injury,Paparua,1,2021,5
18,Tue,Acts Intended to Cause Injury,Paparua,1,2020,10
18,Tue,Acts Intended to Cause Injury,Rangiora East,1,2020,10
18,Tue,Acts Intended to Cause Injury,Waihao,1,2020,10
11,Tue,Acts Intended to Cause Injury,Rolleston South East,1,2020,12
14,Tue,Acts Intended to Cause Injury,Bishopdale North,1,2020,12
14,Tue,Acts Intended to Cause Injury,Casebrook,1,2020,12
14,Tue,Acts Intended to Cause Injury,Strowan,1,2020,12
17,Tue,Acts Intended to Cause Injury,Paparua,1,2020,12
18,Tue,Acts Intended to Cause Injury,Rawhiti,1,2020,12
12,Fri,Theft and Related Offences,Ashburton Central East,1,2021,2
12,Fri,Theft and Related Offences,Cathedral Square,1,2021,2
13,Fri,Theft and Related Offences,Casebrook,1,2021,2
13,Fri,Theft and Related Offences,Papanui,1,2021,2
13,Fri,Theft and Related Offences,Highfield,1,2021,2
13,Fri,Theft and Related Offences,Kaiapoi South,1,2021,2
14,Fri,Theft and Related Offences,Cathedral Square,1,2021,2
14,Fri,Theft and Related Offences,Mona Vale,1,2021,2
18,Tue,Acts Intended to Cause Injury,Waihao,1,2020,12
21,Tue,Acts Intended to Cause Injury,Linwood East,1,2020,12
21,Tue,Acts Intended to Cause Injury,St Martins,1,2020,12
22,Tue,Acts Intended to Cause Injury,Cathedral Square,1,2020,12
13,Sun,Acts Intended to Cause Injury,Paparua,1,2021,5
14,Sun,Acts Intended to Cause Injury,Riccarton,1,2021,5
15,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2021,5
